brokered_by,status,price,bed,city,state,zip_code,prev_sold_date
102017,for_sale,44720,,Aguadilla,Puerto Rico,603,
46019,for_sale,35000,,Aguadilla,Puerto Rico,603,
52707,for_sale,75000,,Aguadilla,Puerto Rico,603,
46019,for_sale,37000,,Aguadilla,Puerto Rico,603,
103378,for_sale,37359,,Aguadilla,Puerto Rico,603,
102017,for_sale,739500,,Aguadilla,Puerto Rico,603,
107152,for_sale,65000,,Aguadilla,Puerto Rico,603,
103378,for_sale,56406,,Aguadilla,Puerto Rico,603,
107152,for_sale,620000,5.0,Aguadilla,Puerto Rico,603,
72457,for_sale,649900,8.0,Aguadilla,Puerto Rico,603,
103378,for_sale,44995,,Aguadilla,Puerto Rico,603,
103378,for_sale,37779,,Aguadilla,Puerto Rico,603,
103378,for_sale,60123,,Aguadilla,Puerto Rico,603,
103378,for_sale,38279,,Aguadilla,Puerto Rico,603,
103378,for_sale,199900,,Aguada,Puerto Rico,603,
102017,for_sale,125000,,Aguadilla,Puerto Rico,603,
52707,for_sale,200000,,Aguadilla,Puerto Rico,603,
102017,for_sale,150000,,Aguadilla,Puerto Rico,603,
92147,for_sale,8000000,,Isabela,Puerto Rico,603,
19383,for_sale,1000000,,Aguadilla,Puerto Rico,603,
52707,for_sale,695000,,Aguadilla,Puerto Rico,603,
103378,for_sale,98000,5.0,Maricao,Puerto Rico,606,
103378,for_sale,55000,5.0,Maricao,Puerto Rico,606,
52707,for_sale,75000,5.0,Maricao,Puerto Rico,606,
46475,for_sale,80000,3.0,Maricao,Puerto Rico,606,
52707,for_sale,160000,,Maricao,Puerto Rico,606,
52464,for_sale,46900,3.0,Mayaguez,Puerto Rico,680,
102017,for_sale,125000,8.0,Hormigueros,Puerto Rico,660,
52707,for_sale,95000,2.0,Guanica,Puerto Rico,653,
57043,for_sale,330000,3.0,Cabo Rojo,Puerto Rico,623,
60028,for_sale,115000,3.0,Mayaguez,Puerto Rico,680,
31239,for_sale,285000,2.0,Cabo Rojo,Puerto Rico,623,
52464,for_sale,215000,7.0,Mayaguez,Puerto Rico,680,
61834,for_sale,115000,3.0,Cabo Rojo,Puerto Rico,623,
87549,for_sale,140000,3.0,Mayaguez,Puerto Rico,680,
51202,for_sale,87000,3.0,Mayaguez,Puerto Rico,682,
52707,for_sale,250000,4.0,Cabo Rojo,Puerto Rico,623,
52707,for_sale,70000,3.0,San German,Puerto Rico,683,
102017,for_sale,190000,5.0,Mayaguez,Puerto Rico,680,
87549,for_sale,150000,3.0,San German,Puerto Rico,683,
60831,for_sale,750000,12.0,Cabo Rojo,Puerto Rico,623,
52707,for_sale,125000,,Mayaguez,Puerto Rico,682,
102017,for_sale,950000,9.0,Rincon,Puerto Rico,677,
102017,for_sale,1200000,5.0,Aguada,Puerto Rico,677,
81495,for_sale,495000,4.0,Lajas,Puerto Rico,667,
87549,for_sale,90000,3.0,Mayaguez,Puerto Rico,682,
77433,for_sale,395000,3.0,Cabo Rojo,Puerto Rico,623,
18211,for_sale,82000,1.0,Mayaguez,Puerto Rico,680,
47983,for_sale,389000,2.0,Cabo Rojo,Puerto Rico,623,
