address,city,country,longitude,name,province_nameChanged
1418 W Sunset Blvd,Saint George,US,-113.613499,Taco Bell,UT
610 E Saint George Blvd,Saint George,US,-113.570286,Taco Bell,UT
4651 W 6th St,Lawrence,US,-95.301449,Pizza Hut,KS
5540 Old Cheney Rd,Lincoln,US,-96.64543,Amigos/Kings Classic,NE
7501 W 135th St,Overland Park,US,-94.672,Raising Cane's Chicken Fingers,KS
4204 Milan Rd,Sandusky,US,-82.67352,McDonalds,OH
6300 Gulf Fwy,La Marque,US,-94.97416,Whataburger,TX
1302 Highway 35 N,Rockport,US,-97.04238,McDonald's,TX
3515 Springdale Rd,Cincinnati,US,-84.59411,Domino's Pizza,OH
7720 Laurel Ave,Cincinnati,US,-84.36207,Domino's Pizza,OH
123 Creekside Xing,New Braunfels,US,-98.07612,Whataburger,TX
793 Roosevelt Trl,Windham,US,-70.44217,Burger King,ME
14700 E Indiana Ave,Spokane,US,-117.206394,Taco Time,WA
201 Commerce Dr,Jefferson City,US,-92.2254,SONIC Drive In,MO
3124 S Ten Mile Dr,Jefferson City,US,-92.2352,McDonald's,MO
1417 Jackson Ave W,Oxford,US,-89.54978,Coop DeVille,MS
2984 Upland Pkwy,Sidney,US,-102.98557,McDonalds,NE
1002 J St,Auburn,US,-95.83913,Amigos/Kings Classic,NE
191 7th St,Garden City,US,-73.634393,B. Good,NY
544 Conestoga Pkwy,Shepherdsville,US,-85.70737,Domino's Pizza,KY
101 Smith Rd,Glasgow,US,-85.92208,McDonald's,KY
5212 Jackson St,Alexandria,US,-92.48395,Sonic Drive-In,LA
131 S Highway 27,Somerset,US,-84.61883,McDonald's,KY
1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,US,-106.60555,Domino's Pizza,NM
4800 Frederica St,Owensboro,US,-87.123894,McDonald's,KY
300 W Esplanade Ave,Kenner,US,-90.26933,Burger King,LA
5963 W Main St,Houma,US,-90.75858,Sonic Drive-In,LA
7849 Tramway Blvd NE Ste D,Albuquerque,US,-106.49703,Domino's Pizza,NM
400 Clifty Dr,Madison,US,-85.39367,Rally's,IN
1228 Saint Charles St,Houma,US,-90.74346,Taco Bell,LA
725 Sterlington Hwy,Farmerville,US,-92.39699,Taco Bell,LA
1088 Westbank Expy,Westwego,US,-90.14081,Pizza Hut,LA
1000 Government St,Baton Rouge,US,-91.17915,Sonic Drive-In,LA
314 E Carpenter St,Cleveland,US,-90.71678,Back Yard Burgers,MS
120 S Davis Ave,Cleveland,US,-90.71593,McDonald's,MS
1231 Holcomb Blvd,Camp Lejeune,US,-77.34444,Wendy's,NC
112 E 2nd St,Duluth,US,-92.09841,Domino's Pizza,MN
976 William H Wilson Ave Ste 100,Fort Stewart,US,-81.61078,Burger King,GA
2910 Lurleen B Wallace Blvd,Northport,US,-87.576869,Sonic Drive-In,AL
2441 James St,Coralville,US,-91.60353,Domino's Pizza,IA
602 Highway 31 SW,Hartselle,US,-86.940455,Taco Bell,AL
107 Jordan Plz,Elizabeth City,US,-76.23925,Domino's Pizza,NC
905 W Corbett Ave,Swansboro,US,-77.14086,McDonalds,NC
2001 Sutton Ln,Sutton,US,-80.664158,Arby's,WV
161 Church St,Burlington,US,-73.21264,Pacific Rim,VT
3716 7th St,Bay City,US,-95.94636,Taco Bell,TX
443 Killian Rd,Columbia,US,-80.95378,Panda Express,SC
122 Hayward Ave,Ames,US,-93.65164,Domino's Pizza,IA
1306 Scotland Crossing Dr,Laurinburg,US,-79.487148,Taco Bell,NC
1700 Norman Dr Spc 1056,Valdosta,US,-83.32041,Chick-fil-A,GA
502 W Columbia Ave,Batesburg,US,-81.545787,Hardee's,SC
4965 Centre Pointe Dr,North Charleston,US,-80.02056,Domino's Pizza,SC
2441 Northgate St,Ottumwa,US,-92.41165,McDonald's,IA
903 E Milam St,Mexia,US,-96.47389,McDonald's,TX
5131 Government St,Baton Rouge,US,-91.13715,Captain D's,LA
4021 Interstate Highway 69 Access Rd,Corpus Christi,US,-97.63067,Whataburger,TX
839 E Mulberry St,Angleton,US,-95.422475,Jack in the Box,TX
3900 University Pkwy,Natchitoches,US,-93.10647,Sonic Drive-In,LA
1855 Main Ave N,Tillamook,US,-123.845556,McDonald's,OR
400 Downs Blvd Ste 100,Franklin,US,-86.88409,Domino's Pizza,TN
808 E Liberty St,Mexico,US,-91.87478,SONIC Drive In,MO
701 E Main St,Park Hills,US,-90.50351,SONIC Drive In,MO
3039 W Peoria Ave,Phoenix,US,-112.124385,Samurai Sam's,AZ
324 W Bypass,Andalusia,US,-86.4999,Arby's,AL
1411 Q St,Lincoln,US,-96.700905,Amigos/Kings Classic,NE
525 W Crawford St,Clay Center,US,-97.14248,SONIC Drive In,KS
5802 S Broadway Ave,Tyler,US,-95.30372,McDonald's,TX
3112 N Navarro St,Victoria,US,-97.000727,McDonald's,TX
2 N Mineral St,Keyser,US,-78.97744,Subway,WV
1845 Fry Rd,Katy,US,-95.71956,McDonald's,TX
100 W Loop 340,Woodway,US,-97.18724,Whataburger,TX
104 E Grant St,Roma,US,-99.01235,McDonald's,TX
